news,class
齐鲁制药厂一年3炸被指污染重环保局称监测达标(图)。齐鲁制药厂被指污染重隔壁师生抗议多年环保局称监测达标未来网北京10月11日电(玄燕凤)“我作为毕业生吸了六年的臭气，不知道这有多大的危害，也不知道喝的水是否被污染。我们已经走了，可是老师一直在那里，附近的村民也一直在。”小孟(化名)是发生爆炸的齐鲁制药厂隔壁学校历城二中的毕业生，在接受未来网采访时，她表达了这样的担忧。10月10日20:50左右，位于济南历城二中附近的齐鲁制药厂发生爆炸。爆炸事件一出，就有网友为历城二中的师生担忧。众多历城二中的老师和学生也通过微博发声。一名网友在微博控诉：“受害学校就是我所在的学校。这已经不是齐鲁制药厂第一次爆炸了，我们师生投诉无数次，没有任何作用。校园内经常弥漫着恶臭，近一万人的一个学校就这样生活在高危状态中。”学生戴口罩上课。图片由受访者提供。“之前发生过两次爆炸了，一次好像是4月份，一次是8月份。”小孟今年刚从历城二中毕业，她在这所学校读了六年书，“你知道我们学校学生都是戴口罩上课的吗？”“我作为毕业生吸了六年的臭气，不知道这有多大的危害，也不知道喝的水是否被污染。我们已经走了，可是老师一直在那里，附近的村民也一直在。”小孟这样告诉未来网。“上了高中，我的呼吸道很差，支气管炎了好几次，还有一次住了院。一回学校就发烧，回家待两天就好。支气管炎的时候，医生说是感染。”小孟介绍道，“后来发烧去医院查了几次，没查出什么毛病，医生说环境差我体质又弱。”“不确定(臭气)对我们身体有多大危害，也不知道我们喝的水有没有污染。”小孟很无奈。该校饮用水为地下水，“当时我们老师说不知道有没有污染”。小普(化名)是小孟的同学，也是今年参加高考从历城二中毕业的学生。“有一次学校开放日，很多家长来参观，就是考虑中考志愿嘛。我作为志愿者去讲解学校有关的情况，有个家长问我，你们这里怎么这么大的味。我说，有吗？大概是我闻习惯了，闻不到了。”“我是13年入学的，军训的时候每天早晨起来都能闻到。”谈及母校的空气，小普说，“空气时常是有异味的，非常难闻，会觉得呼吸道不适。但药厂说他们排放的是无毒的，我不能断定有没有毒，但的确是很刺鼻。”说起前两次爆炸，小普说，“有个老师当时还调侃说还好不是东南风。”,1
蓝天救援队首次开展藏羚羊保护工作。蓝天救援队供图藏羚羊的保护，牵扯着人们的心。6月7日，蓝天救援队一行17人赶往可可西里保护区，首次开展针对藏羚羊的保护工作。全部费用将由队员自己承担。北青报从可可西里保护区管理局了解到，截止到目前为止，藏羚羊的数量已经由90年代末不足2万只，增加到6万只。800多名志愿者参与保护藏羚羊工作从可可西里自然保护区管理局了解到，自2002年开始开展志愿者活动，到目前已有800多名志愿者参与保护工作。此次蓝天救援队派出17名队员，分乘六辆车前往可可西里，主要在索兰达杰保护站，五道梁保护站周边藏羚羊迁徙地区进行看守和保护藏羚羊迁徙工作。据队员许鹏透露，蓝天救援队是首次参与藏羚羊保护工作，全部费用将由队员自己承担。一旦他们发现有藏羚羊向公路走来后，便会拦截过往车辆，让藏羚羊顺利通过交通干道，保证它们的安全。另外，他们还负责在藏羚羊迁徙期间例行巡山，制止非法穿越，协同保护站保护藏羚羊迁徙时，能安全通过马路和居住区域。据可可西里保护区管理局相关负责人介绍，2015年3月31日，青海可可西里国家级自然保护区管理局等四家自然保护区联手发布《关于禁止在阿尔金山、可可西里、羌塘国家级自然护区进行非法穿越活动的公告》，公告中禁止一切单位或个人进入新疆阿尔山、青海可可西里和西藏羌塘国家级自然保护区开展穿越活动。根据以往的经验，藏羚羊在迁徙期，会有较多非法穿越者出现。为此，蓝天救援队在巡山过程中发现穿越者后，会协助保护站将穿越者带回保护站。,0
记者卧底家政公司：8天花750元就能变高级月嫂。齐鲁网10月8日讯随着全面二胎的放开，今年迎来了生育高峰，很多家庭在迎来了小宝宝的同时也开始发起了愁，孩子有了谁来看呢？有的时候，爷爷奶奶姥姥姥爷全家齐上阵，也生怕照顾不好家里的小宝贝，更何况那些父辈不方便照看的，于是，月嫂变得越来越紧俏，尤其是“高级月嫂”、“金牌月嫂”，在很多热地方都出现了需要提前8个月才能预定上高级月嫂的情况，而与月嫂市场紧俏情况相对应的，月嫂培训这一行当也是风生水起，《调查》网上搜索“济南月嫂培训”，发现许多家政公司都提供短则7天，长则一个月的月嫂培训，随机点开了一条“济南泉城大姐家政专业培训高级月嫂”的广告，广告上面写着“常年招月嫂学员，设立专业月嫂培训班，专业老师授课，7天课程，理论和实操，包教包会，学完合格后颁发《高级月嫂》证书，全国通用，网上可查”。按照广告上的地址，山东卫视《调查》找到了这家位于济南市王官庄九区的泉城大姐家政公司。走进公司，这家公司的一个王经理接待了。王经理说，只要花750元8天内就能拿到高级月嫂证，并且他们公司还可以帮忙介绍客户，保证找到工作。为了验证这个说法，王经理专门拿出了一大叠证书，看到，王经理所说的“高级月嫂证书”是一本绿皮封面的证书，证书里面印有培训职业及等级“高级月嫂”和证书编号，并承诺这是“全国认证，全国统考的”。在交谈的过程中，王经理一直强调这个月嫂高级证书是全国通用的，让放心，在只提交了身份证后，就成功的报上了名。在交了750元的培训费后，被安排到了济南市王官庄东区的一家酒店进行培训，按照王经理的说法，这家酒店的4楼是泉城大姐租用的培训基地。在这家酒店的402室，看到了门口泉城大姐月嫂培训室的字样。进到里边发现，屋里挂着一个“泉城大姐月嫂、育儿嫂第x期培训班”的横幅，墙上也帖着“泉城大姐苦学技能、爱心奉献的标语。”屋里一共有4排桌子，里面有9名三四十岁的妇女在看讲课视频，并且教室的后面还放了一排大约30几个玩具娃娃。给学员们进行培训的是一位姓赫的老师，赫老师说，她曾当过幼儿园老师和月嫂，经验十分丰富。赫老师告诉，月嫂的培训时间是从早上9点到下午5点，中午休息两个半小时，培训的内容包括理论知识以及实践操作，通过聊天发现，来参加高级月嫂培训的学员之前的职业都五花八门，但大部分都没干过月嫂。不过，按照他们的说法，只要交上750元，就能拿到高级月嫂证，工作会好找很多，每个月工资也会多出几百元。在上课的第一天，赫老师教了一些关于新生儿生理特征的理论知识和如何给孩子、产妇做操。第二天，她花了半天的时间，教授学员如何给婴儿洗澡及按摩，并用教室后排的玩具娃娃进行实践操作。第三天的培训内容是如何给孩子进行智力开发的理论知识，第四天是关于母乳喂养的内容，第五天赫老师又教了如何让产妇科学的坐月子，包括产后注意的饮食和产褥期的护理。第六天学员们有学习了婴儿辅食添加及制作的理论知识，并且观看了如何制作辅食的教学视频。第七天是关于新生儿常见疾病，教学员如何辨别黄疸。最后一天，赫老师教了学员如何制作月子餐的理论知识，并让学员记下了食谱。在8天的培训完成之后，泉城大姐组织了考试。考试分为实际操作和笔试，而监考的就是泉城大姐的培训老师赫老师。虽然已经学了8天，但在实际操作考试环节，仍有学员忘了怎么给孩子洗澡和做按摩。在笔试中，看到，学员拿到的试卷上写着“济南泉城大姐月嫂育婴嫂理论试题”，这份题目是由泉城大姐家政公司自己出卷的，整张卷子由填空题、选择题和论述题三个部分组织。有一些诸如“新生儿最初最营养的食品是什么”等常识性的问题。而就是这些常识性的问题，有学员也有回答不了的，甚至翻书开抄。在考试中，有的学员在实操环节忘了基本的操作步骤，有的在笔试中没回答上常识性的问题，甚至还作了弊，那他们能通过考试拿到毕业证书呢？答案是肯定的！不仅如此，《调查》在卧底培训的过程中还发现，有的学员在没有完成培训的情况下就被安排上了岗。原因也很简单，因为现在月嫂市场紧张，泉城大姐就会提前给还没考试的学员们找工作，一旦有雇主要月嫂，泉城大姐就会通知他们提前上岗。在8天的培训中，有的学员甚至仅仅学了一天就去工作了。虽然也有学员想先学完再去上工，但是在家政公司的再三催促之下，还是结束了学习直接去工作。不禁要问，这样的月嫂能把婴儿照顾好吗？万一聘用月嫂的人家不满意怎么办呢？这个家政公司也早有准备，“善意的谎言”该说还得说！在培训过程中，为了让顾客能对月嫂满意，赫老师特意交代给学员们在上岗时一定要对顾客虚构一下自己的从业经历，让顾客觉得他们很专业。在这种“善意谎言”的教育下很多学员都学会了撒谎。而在照顾孩子中体现出来的不专业，一旦被客户发现，还得学会“见招拆招”才行！那经过8天培训拿到的《高级月嫂证书》又到底是不是全国通用的资格证书呢？《调查》联系了颁发证书的山东省人力资源和社会保障厅，宣传处的张处长告诉，拿到的证书根本不是国家通用的“高级月嫂证”，只是一个“培训合格证”而已。那么月嫂行业的准入标准到底是什么，高级月嫂和普通月嫂的区别又在哪里呢？联系了参与国家家政服务标准制定的济南阳光大姐家政服务公司。济南阳光大姐副总经理高玉芝告诉，2015年国家标准委发布了《家政服务母婴生活护理服务质量规范》和《家政服务机构等级划分及评定》，对月嫂的准入条件做了详细的制定根据国家标准，月嫂年龄应在18岁到55岁，具有初中以上文化程度的女性，具备与等级相适应的服务技能，上岗服务时应着统一工作服，定期参加职业培训，无刑事犯罪记录，无精神病史和传染病等。而且正规的月嫂培训大概需要150个小时，15天的培训时间。高玉芝说，市场上并没有“高级月嫂”这种职称，按照规定，月嫂的级别分为从一星到金牌六个级别二星级月嫂的评定就需要累计6个月客户满意无投诉的工作经验，而最高级的金牌月嫂更是要累计48个月或72个月客户满意无投诉，也就是说成为一名金牌月嫂至少要4年的时间。期间还需要通过育婴师、营养配餐师、母婴按摩等方面的考试。也正是这样的高要求，让市场上的金牌月嫂数量并不多，这让月嫂市场变得供不应求。高玉芝告诉，在价格方面，阳光大姐的一个工作8小时的金牌月嫂价格在4000元左右，24小时的在8000元以上。而在泉城大姐，一个8小时的高级月嫂工资在3700元左右，24小时的高级月嫂的工资也在8000元左右，和阳光大姐差不多，并不是太高的价格，也让不少顾客找上了门。虽然月嫂市场供不应求，但是一些家政公司也不能“萝卜快了不洗泥”，为了一时的利益，拿着所谓的“高级月嫂”来糊弄顾客，只有诚信经营，为顾客提供有真材实料的月嫂，这样公司的发展才能长久。,0
2019年全国大众创业万众创新活动周在杭州启幕。6月13日上午，以“汇聚双创活力，澎湃发展动力”为主题的2019年全国大众创业万众创新活动周（以下简称：“双创”活动周）在杭州余杭梦想小镇启动。本届“双创”活动周活动周将持续至6月19日，设杭州“梦想小镇”主会场和北京会场，全国各省、自治区、直辖市、计划单列市和新疆生产建设兵团同步举办系列活动。举办“双创”活动周，是国务院按照创新驱动发展战略要求，把大众创业万众创新引向深入的具体举措。自2015年首次举办以来，先后在北京、深圳、上海和成都成功举办四届。本届“双创”活动周期间，国家发展改革委、教育部、科技部、工信部和共青团中央、中国科协、中国科学院将在杭州集中举办长三角一体化创新创业合作推进会、科技创新创业高峰论坛、创响中国·2019中国科学院创客之夜、风向标——中国创新创业先锋论坛、中国青年动漫创新创业发展论坛等15场高规格会议论坛活动。杭州作为本届“双创”活动周主办城市，在持续一周的时间内，将举办启动仪式、主题展示、筑梦服务站、小镇创客厅、天天“新物种”、特色小镇体验行等重点活动，集中展示全国各地特别是浙江省、杭州市创新创业创造的最新成果、最新成效、最新突破。本届“双创”活动周期间，杭州还将举行“2019年阿里巴巴诸神之战全球创客大赛启动仪式”、“人工智能+”产业论坛、“双创赋能新制造研讨会”等专业化、市场化活动。活动周前后，杭州各区县（市）和产业平台还将同步举办超过200场地方特色活动，让参会嘉宾全方位体验杭州“创新活力之城”的独特魅力。（曾杨希甘居鹏赵磊）曾杨希甘居鹏赵磊,0
接待游客超2万人次。本报昌都6月12日电（陈志强）日前，第十五届海峡旅游博览会暨2019年第五届中国（厦门）国际休闲旅游博览会在福建厦门举办。昌都参展团围绕昌都城市形象宣传展示、特色文化旅游资源推介推广搭建昌都展馆，藏香、藏药、金银首饰等民族手工艺品和文化旅游创意产品广受游客喜爱，现场累计接待国内外游客超过2.6万人次。近年来，昌都市积极支持文化扶贫企业参加区内外规格高、影响力大的文化旅游推介展览活动，旨在为昌都市文化企业提供优质对外宣传展示推介交流平台，帮助其更好地了解市场需求，寻求商业合作，开发适销产品，拓宽消费市场，做大产业产值，带动更多的贫困群众就业致富。陈志强,0
内蒙古华北东北有阵性降水台风鲇鱼将影响闽粤。中央气象台官网中新网9月26日电据中央气象台官网消息，受短波槽东移影响，26至27日，内中东部、华北大部、东北地区大部等地有阵性降水，其中内蒙古东部、东北地区北部的部分地区有中到大雨，上述局地并伴有短时强降水、雷暴大风或冰雹等强对流天气。此外，受高空槽和低层切变线影响，26至27日，重庆北部、陕西南部、湖北北部和西部、河南中南部、安徽北部等地有降水，上述部分地区有大雨或暴雨，并伴有短时强降水等强对流天气。受台风“鲇鱼”影响，预计26日至28日，台湾以东洋面、台湾海峡、台湾、福建、广东、江西、浙江东南部等地将有较大风雨天气。27日至28日，福建大部、广东东部、浙江东南部、江西大部、台湾东部等地的部分地区有暴雨或大暴雨，局地有特大暴雨(250～350毫米)。26日08时至27日08时，内蒙古东部、东北地区北部、陕西南部、重庆北部、湖北西部和北部、河南中南部、安徽北部、青藏高原大部、川西高原北部以及台湾等地有中到大雨，局地有暴雨，台湾东北部有暴雨或大暴雨；上述局地并伴有短时强降水、雷暴大风或冰雹等强对流天气。东海东南部、台湾海峡、南海东北部将有7～9级、阵风10～12级大风。27日08时至28日08时，黑龙江东部、西南地区东部、西北地区东南部、云南东部、江南东南部、华南东部、台湾等地有中到大雨，其中，广东东南部、福建中东部、浙江东南部、台湾等地的部分地区有暴雨到大暴雨，局地有特大暴雨(250～350毫米)。内蒙古中部、辽宁、华北西北部、黄淮东部、江淮东部、江南东北部、福建沿海等地的部分地区有4～6级风。东海南部、南海东北部将有8～10级、阵风11～13级的大风。渤海、黄海北部和中部有6～7级、阵风8～9级的大风。28日08时至29日08时，云南北部、江淮大部、江南中东部、华南中东部地有中到大雨，其中，浙江东南部、福建东部和南部、江西大部、广东东部等地的部分地区有暴雨，局地有大暴雨(100～180毫米)。江南中东部、江淮南部、福建沿海等地的部分地区有4～6级风。东海南部、台湾海峡、南海东北部将有6～8级、阵风9～10级的大风。,0
伪爱猫人每天杀猫100只将猫肉当兔肉卖上餐桌。在仓库小铁笼里被关的猫被宰杀后，正在被处理的猫。有些猫被熏干当野味卖。百花西路的一处老小区里，一套50平米左右的房子，是20多只猫的专属住所。它们的主人黄平富在这个小区有两套房，人住一套，猫住另一套。老黄有时也会将一些顾客带进房间挑猫。这些前来买猫的人进入房间看到的是这样的场景：20多只名贵猫咪住空调房，阳台上有供猫攀爬的架子，大冰箱里放着鱼肉等猫粮，然后听着老黄介绍他们两口子“像照顾自己孩子一样”的养猫心得。大家都认为，这真是一个很爱猫的人呢。然而，一条手机信息出卖了老黄：他曾将猫肉红绕的菜拍下来发给一名他认为可能成为他生意伙伴的人士，并许诺说“下次给你弄一条新鲜的尝尝”。于是，有了下面历时三月暗访揭穿老黄真面目的故事。8月初，一名爱心人士在微信群里无意中发现群里有人兜售宠物猫，平时发一些猫猫的照片，还会认养一些流浪猫。“还感觉人还多好的，问他领不领养土猫，他说要。”然而，进一步聊天中，爱心人士却发现这名男子并没有那么简单，背地里似乎在干着一些肮脏勾当。“他竟然在卖猫肉！”爱心人士与其多次聊天以后，取得了该男子的信任，他介绍起自己的猫肉生意。“我在新都杀货，每天都要去进出货。”“我们有专门人打货，在四川就有七八十个人打货。”“一个打货有啥子嘛。”检查中，执法人员在作坊内发现了两个大型冰柜，里面存放了大量的已杀好的冻猫肉，据杀猫人透露，这些猫肉均为黄平富所有。但是，在现场黄平富始终不承认自己有贩卖猫肉的行为。执法人员将冻货搬运上车，共计8件，装了满满一车。随后，另一组执法人员在距离杀猫房两公里以外的一大型冻库中找到了黄平富存放的货，打开袋子检查，冻肉身型完整，一眼就识别出是猫。在执法人员的监督下，冻库负责人将黄平富存放在冻库的猫肉搬了出来，经过现场清点，一共发现冻猫肉6件。同时，第三组执法人员在龙泉驿区来龙村四组一仓库中现场查获了30只活猫。黄平富曾经透露，自己的货一件装22只猫，大约在110斤重。根据此说法估算，现场查获的活猫和冻货接近1吨。与执法检查出的结果极为相反的是，另一面的黄平富是个口碑极好的“爱猫人士”，他细心照顾猫咪的行为，早已为街坊熟知。百花西路的一处老小区里，黄平富在小区里有两套房，他住一套，另一套则专门空出来让猫居住。供猫居住的房子约50平方米左右，养着20多只猫。与大量养猫场所的脏乱不一样，这间专属住房内，地板被拖得干干净净，不大的客厅里放着一个帐篷给猫睡，里面垫着棉垫，旁边还有玩具，几只小猫在这里玩耍。厨房和阳台上放着大大小小的猫笼。这处场所简直是猫们的天堂：草莓猫窝、吊床、猫粮、猫砂盆，每只猫都有自己的“豪宅”。阳台上甚至还有供猫玩耍的猫爬架，下午，在慵懒的阳光下，几只大猫躺在阳台的防护栏上懒洋洋的晒着太阳。而阳台用细铁丝全部做了防护栏，猫不会跑出去。“这些小猫刚出生十天，要特别注意保暖。”进到屋里，黄平富走到一只刚生了小猫的母猫面前，打开猫笼，动手整理了猫窝里的小棉被。这些猫中，主要是美短、英短等名贵猫，平日都是黄平富两口子亲自照料。在照顾猫上，黄平富可谓细心周到。“每天煮鱼，比人还吃的好。”每天猫粮管够，晚上喂一顿鱼肉，他们将买回来的白鲢砍成小块，冻在冰箱里面，煮熟后把鱼刺剔除，然后喂给猫。有时候猫拉肚子、感冒了，两口子还要给它们看病。黄平富说，在天气炎热的夏天，他会将空调打开，开到27至28℃，给猫猫们吹空调。这些小猫，甚至还享受着24小时专人看护的待遇。“晚上必须要有人守夜，万一猫出问题不好办。”不管是黄平富精心喂养的20多只宠物猫，还是他残忍屠杀的流浪猫，终极目的都只有一个：钱。在黄平富眼里，这是一门好生意。爱猫，是为了让猫更好地产崽，之后再高价卖掉；杀猫，是为了尽可能地谋取利益。在跟踪取证过程中，以买猫为由，再次和黄平富进行了接触。这一次，黄平富的嘴脸很快从一个爱猫人士变成了一个贩猫男子。“卖家，就是两千五我跟你说的都是实际卖价，不敢乱说的。”黄平富自己也曾在扮商家的面前炫耀：“我养的猫品种都不错，一只猫一年生两三窝，一窝平均三五只，通常卖2000-4000一只，把成本除了，去年纯利润都挣了50万。”也许只有跟黄平富有过生意往来的人，才知道他的真面目，“他做猫生意20多年了。他养猫是养得很细，不过外人不知道，他养猫主要是为了卖钱。”知情人士告诉成都商报，黄平富手下有很多偷猫的猫贩子，但大多不识货，因此偷来的猫一律以只数卖给黄平富，而黄平富会从中挑出名贵的猫养起卖大价钱，剩下的才当肉猫卖。“偷猫的人把它当成普通的土猫，28元钱卖给我了，我发现它品种还不错，才开始养，也才有了后面的养猫生意。”黄平富在街坊的形象是如此的光鲜，以后至当告诉他们，黄平富干着杀猫贩猫肉的勾当时，他们根本不信，“胡说，老黄那么爱猫的。”黄平富不仅杀猫卖猫肉，他自己也吃猫肉。“我们自己经常吃。凉拌、炒回锅都好吃。”他曾这样向表示，在手机聊天时，黄平富也曾将猫肉红绕的菜拍下来发给爱心人士，大方的说“下次给你弄一条新鲜的尝尝。在受到查处后，本地的动物保护组织已经参与到救助中，那些幸存下来的活猫已被运送至爱之家动物救助站饲养。成都商报客户端摄影报道,0
京产“水果玉米”提前一月上市口感甜爽皮薄无渣。新京报讯6月13日，从北京市农业技术推广站获悉，该站在房山区窦店镇下坡店村示范推广种植的BMB380、京白甜456等优质高端水果玉米实现提前上市，上市时间较常规生产提早30天，并与便利店、电商平台签订订单，从6月20日起供应到10月10日。本次示范品种以优质高端的水果玉米品种为主，分为黄白色BMB380和纯白色的京白甜456。其中BMB380为北京市2018年首次引种备案成功并进行推广种植，京白甜456为北京市农业技术推广站与北京保民种业联合选育的新品种，目前已经完成审定公示，即将通过审定。上述品种均为2018年第四届北京鲜食玉米节获奖品种，生食、熟食均可，口感甜爽脆嫩、皮薄且无渣。游客在大棚里采摘玉米。游客在大棚里采摘玉米。房山区生态农场的农民在对玉米进行清理打包。北京市农业技术推广站农艺师提取玉米汁，准备检测含糖量。经农艺师现场检测，玉米含糖量达到19.5%。新京报吴宁陈琳摄影报道编辑吴飞虎校对李项玲,0
为应对酷暑，东京奥运会推出伞状斗笠帽？。朵朵2020年东京奥运会明年就要举行了。为防止日本天气炎热，推出一款伞状帽子，形似斗笠帽子直径约60公分，具有遮挡阳光的功效。帽子以重量轻盈的抗热材料制成，约180克重。戴在头上后可用两条吊带扣环固定于下巴。外形如同日本古代武士戴的斗笠，目前成品展示用，正式推出可能会略作调整。消息发布后，不少网友纷纷表示质疑，帽子的骨架戴在头上是否会产生不适，而且，放射形的骨架可能会伤到周围人，也会遮挡视线。小池百合子于会上表示，遮阳帽可供不愿撑伞的男性使用，你觉得这个帽子怎么样呢？联系我们,0
洪涝致江西逾260万人受灾直接经济损失达56.2亿元。6月10日，江西省吉安县梅塘乡渡口村，消防员蹚着齐腰深的洪水，小心翼翼地将婴儿转移到安全地带。郭清云摄中新网南昌6月12日电记者12日从江西省防汛抗旱指挥部获悉，截至当日16时30分统计，6日下午开始的洪涝灾害，导致该省9个设区市80个县(市、区)260.5万人受灾，直接经济损失56.2亿元。6日14时至12日8时，江西全省平均降雨量为133.2毫米。全省共98个县(区)4744站降雨超过50毫米，87个县(区)3441站超过100毫米，38个县(区)625站超过250毫米。受强降雨持续影响，信江上中游、赣江干流及上中游干支流发生超警戒洪水，赣江2019年第1、2号洪水相继在中、上游形成，赣江流域发生中洪水。信江上游玉山站，赣江支流孤江白沙站、泸水赛塘站等水文站出现历史第二高水位，桃江上游支流发生超历史洪水。截至12日8时，赣江仍有7个主要水文站水位在警戒线以上。12日8时，赣江南昌水位22.46米，比11日下降0.15米。长江九江水位17.21米，比昨日上涨0.22米；湖口水位16.82米，比11日上涨0.24米。鄱阳湖星子水位17.19米，比11日上涨0.28米，湖区通江水体面积3200平方公里，容积131亿立米，比11日增加8亿立米。根据各地上报，截至6月12日16时30分统计，6日下午开始的洪涝灾害共有上饶、吉安、鹰潭、抚州、九江、萍乡、宜春、赣州、新余9个设区市80个县(市、区)260.5万人受灾，紧急转移安置和需紧急生活救助31万人，直接经济损失56.2亿元，灾情还在进一步统计核查中。目前，国家减灾委、应急管理部维持国家IV级救灾应急响应，水利部、长江委维持IV级应急响应，应急管理部工作组和水利部工作组仍在江西省指导。江西省防指维持防汛IV级应急响应，省减灾委、省应急厅维持省级III级救灾应急响应，省应急厅9个工作组和省水利厅4个工作组仍集中办公。6月11日，航拍赣江南昌段水位暴涨，沿江景观树受淹在浑浊的江水之中。刘占昆摄针对洪涝灾情，应急管理部紧急调拨中央救灾物资支援。11日下午，江西省应急厅在紧急向吉安、赣州等地调拨省级救灾物资基础上，又向上饶调动1500床棉被、1000张折叠床、1000床竹席、500条毛巾被等一批省级救灾物资。6月11日上午，按照江西省防指指挥长、副省长胡强指示要求，省防指连线赣州、吉安市防指，召开视频调度会，要求重点做好山洪地质灾害防御，加强堤防、水库巡查，抓紧有利时机做好水毁抢修，切实做好防汛值班值守工作。当晚，江西省防指再次连线吉安市防指，强调对万安水库科学调度的重要性，要求克服困难，全力配合做好防汛调度，确保安全度汛。据气象预报，6月12-13日，江西省中南部部分暴雨，局部大暴雨，赣中赣南累计雨量50-80毫米，局部150毫米以上。最大小时雨强一般30~50毫米，局部地区可达60~80毫米。强降雨区与前期暴雨区有重叠，需注意防范灾害叠加效应以及滞后效应的危害。12日下午，江西省委常委、组织部部长、副省长、省防指政委刘强组织应急、水利、气象、自然资源、水文等部门，主持召开防汛紧急视频调度会，重点调度赣州、吉安、抚州、上饶、鹰潭等设区市，部署山洪地质灾害防御和群众提前转移等工作。,1
